opcode,mnemonic,address_mode,chiptype
# chiptype: 0 - 6502, 1 - wdc65c02 (rev1), 2 - rockwell/wdc 650c02, 3 - huc6280
0x69,adc,imm,0
0x65,adc,zp,0
0x75,adc,zpx,0
0x72,adc,ind,1
0x61,adc,izx,0
0x71,adc,izy,0
0x6d,adc,abs,0
0x7d,adc,abx,0
0x79,adc,aby,0
0x29,and,imm,0
0x25,and,zp,0
0x35,and,zpx,0
0x32,and,ind,1
0x21,and,izx,0
0x31,and,izy,0
0x2d,and,abs,0
0x3d,and,abx,0
0x39,and,aby,0
0x06,asl,zp,0
0x16,asl,zpx,0
0x0e,asl,abs,0
0x1e,asl,abx,0
0x0a,asl,acc,0
0x0f,bbr0,zprel,2
0x1f,bbr1,zprel,2
0x2f,bbr2,zprel,2
0x3f,bbr3,zprel,2
0x4f,bbr4,zprel,2
0x5f,bbr5,zprel,2
0x6f,bbr6,zprel,2
0x7f,bbr7,zprel,2
0x90,bcc,rel,0
0x8f,bbs0,zprel,2
0x9f,bbs1,zprel,2
0xaf,bbs2,zprel,2
0xbf,bbs3,zprel,2
0xcf,bbs4,zprel,2
0xdf,bbs5,zprel,2
0xef,bbs6,zprel,2
0xff,bbs7,zprel,2
0xb0,bcs,rel,0
0xf0,beq,rel,0
0x89,bit,imm,1
0x24,bit,zp,0
0x34,bit,zpx,1
0x2c,bit,abs,0
0x3c,bit,abx,1
0x30,bmi,rel,0
0xd0,bne,rel,0
0x10,bpl,rel,0
0x80,bra,rel,1
0x00,brk,imp1,0
0x44,bsr,rel,3
0x70,bvs,rel,0
0x50,bvc,rel,0
0x18,clc,imp1,0
0x62,cla,imp1,3
0xd8,cld,imp1,0
0x58,cli,imp1,0
0xb8,clv,imp1,0
0xc2,cly,imp1,3
0x82,clx,imp1,3
0xe0,cpx,imm,0
0xe4,cpx,zp,0
0xec,cpx,abs,0
0xd4,csh,imp1,3
0x54,csl,imp1,3
0xc9,cmp,imm,0
0xc5,cmp,zp,0
