opcode,mnemonic,address_mode,cycles
0x00,brk,imp1,7
0x01,ora,izx,6
0x02,nop,imm,2
0x03,nop,imp1,1
0x04,tsb,zp,5
0x05,ora,zp,3
0x06,asl,zp,5
0x07,rmb0,zp,5
0x08,php,imp1,3
0x09,ora,imm,2
0x0a,asl,acc,2
0x0b,nop,imp1,1
0x0c,tsb,abs,6
0x0d,ora,abs,4
0x0e,asl,abs,6
0x0f,bbr0,zprel,5
0x10,bpl,rel,2
0x11,ora,izy,5
0x12,ora,izp,5
0x13,nop,imp1,1
0x14,trb,zp,5
0x15,ora,zpx,4
0x16,asl,zpx,6
0x17,rmb1,zp,5
0x18,clc,imp1,2
0x19,ora,aby,4
0x1a,inc,acc,2
0x1b,nop,imp1,1
0x1c,trb,abs,6
0x1d,ora,abx,4
0x1e,asl,abx,6
0x1f,bbr1,zprel,5
0x20,jsr,abs,6
0x21,and,izx,6
0x22,nop,imm,2
0x23,nop,imp1,1
0x24,bit,zp,3
0x25,and,zp,3
0x26,rol,zp,5
0x27,rmb2,zp,5
0x28,plp,imp1,4
0x29,and,imm,2
0x2a,rol,acc,2
0x2b,nop,imp1,1
0x2c,bit,abs,4
0x2d,and,abs,4
0x2e,rol,abs,6
0x2f,bbr2,zprel,5
0x30,bmi,rel,2
0x31,and,izy,5
0x32,and,izp,5
0x33,nop,imp1,1
0x34,bit,zpx,4
0x35,and,zpx,4
0x36,rol,zpx,6
0x37,rmb3,zp,5
0x38,sec,imp1,2
0x39,and,aby,4
0x3a,dec,acc,2
0x3b,nop,imp1,1
0x3c,bit,abx,4
0x3d,and,abx,4
0x3e,rol,abx,6
0x3f,bbr3,zprel,5
0x40,rti,imp1,6
0x41,eor,izx,6
0x42,nop,imm,2
0x43,nop,imp1,1
0x44,nop,zp,3
0x45,eor,zp,3
0x46,lsr,zp,5
0x47,rmb4,zp,5
0x48,pha,imp1,3
0x49,eor,imm,2
0x4a,lsr,acc,2
0x4b,nop,imp1,1
0x4c,jmp,abs,3
0x4d,eor,abs,4
0x4e,lsr,abs,6
0x4f,bbr4,zprel,5
0x50,bvc,rel,2
0x51,eor,izy,5
0x52,eor,izp,5
0x53,nop,imp1,1
0x54,nop,zpx,4
0x55,eor,zpx,4
0x56,lsr,zpx,6
0x57,rmb5,zp,5
0x58,cli,imp1,2
0x59,eor,aby,4
0x5a,phy,imp1,3
0x5b,nop,imp1,1
0x5c,nop,abs,8
0x5d,eor,abx,4
0x5e,lsr,abx,6
0x5f,bbr5,zprel,5
0x60,rts,imp1,6
0x61,adc,izx,6
0x62,nop,imm,2
0x63,nop,imp1,1
0x64,stz,zp,3
0x65,adc,zp,3
0x66,ror,zp,5
0x67,rmb6,zp,5
0x68,pla,imp1,4
0x69,adc,imm,2
0x6a,ror,acc,2
0x6b,nop,imp1,1
0x6c,jmp,abi,6
0x6d,adc,abs,4
0x6e,ror,abs,6
0x6f,bbr6,zprel,5
0x70,bvs,rel,2
0x71,adc,izy,5
0x72,adc,izp,5
0x73,nop,imp1,1
0x74,stz,zpx,4
0x75,adc,zpx,4
0x76,ror,zpx,6
0x77,rmb7,zp,5
0x78,sei,imp1,2
0x79,adc,aby,4
0x7a,ply,imp1,4
0x7b,nop,imp1,1
0x7c,jmp,abix,6
0x7d,adc,abx,4
0x7e,ror,abx,6
0x7f,bbr7,zprel,5
0x80,bra,rel,3
0x81,sta,izx,6
0x82,nop,imm,2
0x83,nop,imp1,1
0x84,sty,zp,3
0x85,sta,zp,3
0x86,stx,zp,3
0x87,smb0,zp,5
0x88,dey,imp1,2
0x89,bit,imm,2
0x8a,txa,imp1,2
0x8b,nop,imp1,1
0x8c,sty,abs,4
0x8d,sta,abs,4
0x8e,stx,abs,4
0x8f,bbs0,zprel,5
0x90,bcc,rel,2
0x91,sta,izy,6
0x92,sta,izp,5
0x93,nop,imp1,1
0x94,sty,zpx,4
0x95,sta,zpx,4
0x96,stx,zpy,4
0x97,smb1,zp,5
0x98,tya,imp1,2
0x99,sta,aby,5
0x9a,txs,imp1,2
0x9b,nop,imp1,1
0x9c,stz,abs,4
0x9d,sta,abx,5
0x9e,stz,abx,5
0x9f,bbs1,zprel,5
0xa0,ldy,imm,2
0xa1,lda,izx,6
0xa2,ldx,imm,2
0xa3,nop,imp1,1
0xa4,ldy,zp,3
0xa5,lda,zp,3
0xa6,ldx,zp,3
0xa7,smb2,zp,5
0xa8,tay,imp1,2
0xa9,lda,imm,2
0xaa,tax,imp1,2
0xab,nop,imp1,1
0xac,ldy,abs,4
0xad,lda,abs,4
0xae,ldx,abs,4
0xaf,bbs2,zprel,5
0xb0,bcs,rel,2
0xb1,lda,izy,5
0xb2,lda,izp,5
0xb3,nop,imp1,1
0xb4,ldy,zpx,4
0xb5,lda,zpx,4
0xb6,ldx,zpy,4
0xb7,smb3,zp,5
0xb8,clv,imp1,2
0xb9,lda,aby,4
0xba,tsx,imp1,2
0xbb,nop,imp1,1
0xbc,ldy,abx,4
0xbd,lda,abx,4
0xbe,ldx,aby,4
0xbf,bbs3,zprel,5
0xc0,cpy,imm,2
0xc1,cmp,izx,6
0xc2,nop,imm,2
0xc3,nop,imp1,1
0xc4,cpy,zp,3
0xc5,cmp,zp,3
0xc6,dec,zp,5
0xc7,smb4,zp,5
0xc8,iny,imp1,2
0xc9,cmp,imm,2
0xca,dex,imp1,2
0xcb,nop,imp1,1
0xcc,cpy,abs,4
0xcd,cmp,abs,4
0xce,dec,abs,6
0xcf,bbs4,zprel,5
0xd0,bne,rel,2
0xd1,cmp,izy,5
0xd2,cmp,izp,5
0xd3,nop,imp1,1
0xd4,nop,zpx,4
0xd5,cmp,zpx,4
0xd6,dec,zpx,6
0xd7,smb5,zp,5
0xd8,cld,imp1,2
0xd9,cmp,aby,4
0xda,phx,imp1,3
0xdb,nop,imp1,1
0xdc,nop,abs,4
0xdd,cmp,abx,4
0xde,dec,abx,7
0xdf,bbs5,zprel,5
0xe0,cpx,imm,2
0xe1,sbc,izx,6
0xe2,nop,imm,2
0xe3,nop,imp1,1
0xe4,cpx,zp,3
0xe5,sbc,zp,3
0xe6,inc,zp,5
0xe7,smb6,zp,5
0xe8,inx,imp1,2
0xe9,sbc,imm,2
0xea,nop,imp1,2
0xeb,nop,imp1,1
0xec,cpx,abs,4
